,num_qubits,num_qubits,circuit_depth,circuit_depth,gate_count,gate_count,encoding_time,encoding_time,scalability_score,scalability_score,information_loss,information_loss,compression_ratio,compression_ratio,memory_efficiency,memory_efficiency,gate_complexity_score,gate_complexity_score,implementation_complexity,implementation_complexity
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,,,,,,,
FRQI,9.0,0.0,113.6138,15.6045,121.6138,15.6045,1.6538,0.7277,2.9407,0.1502,50.072,6.8574,32.1902,1.648,1.9973,0.4322,1.8242,0.2341,3.0,0.0
NEQR,16.0,0.0,61.7159,9.0492,312.3752,67.2562,3.5192,1.2122,2.9696,0.1564,51.7845,7.0697,19.9801,1.6795,2.0199,0.4271,4.6856,1.0088,4.0,0.0
GQIR,12.0,0.0,39.4203,12.0816,97.9578,36.3676,1.5554,0.6102,3.7405,0.4592,76.9022,7.079,30.4101,3.5351,4.472,1.931,1.4694,0.5455,5.0,0.0
MCQI,18.0,0.0,185.1476,27.1477,923.1255,201.7686,10.062,3.4114,2.2142,0.0924,0.6544,4.1111,14.3131,0.425,0.6218,0.1377,13.8469,3.0265,7.0,0.0
QRMW,18.0,0.0,312.1626,33.376,1977.7244,254.1876,20.435,5.5564,1.9854,0.0502,0.0,0.0,12.727,0.3566,0.3659,0.0519,29.6659,3.8128,6.0,0.0
EFRQI,9.0,0.0,79.9733,20.7994,87.9733,20.7994,1.5503,0.4606,3.2828,0.3275,64.8555,9.1404,33.9003,2.8315,2.9797,1.1384,1.3196,0.312,4.5,0.0
2D-QSNA,8.0,0.0,1.0,0.0,3.7364,0.495,0.8023,0.2363,9.2854,0.0,99.6094,0.0,256.0,0.0,32.0,0.0,0.056,0.0074,6.5,0.0
INEQR,16.0,0.0,61.7159,9.0492,312.3752,67.2562,3.4393,1.0689,2.9696,0.1564,51.7845,7.0697,19.9801,1.6795,2.0199,0.4271,4.6856,1.0088,5.5,0.0
QPIE,16.0,0.0,256.0,0.0,2056.0,0.0,23.6294,5.6366,2.1112,0.0,0.0,0.0,14.2222,0.0,0.5,0.0,30.84,0.0,5.0,0.0
QLR,16.0,0.0,70.3932,19.4732,176.6845,37.6476,3.3584,2.3937,2.9037,0.2631,45.0053,15.2135,19.6422,1.844,1.9008,0.6762,2.6503,0.5647,4.5,0.0
CS-HQR,16.0,0.0,759.8492,65.955,3388.8911,66.6056,74.7406,18.7233,1.7231,0.0269,0.0018,0.0023,-0.3507,0.0,0.169,0.0158,50.8334,0.9991,7.5,0.0
